     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,    6.10,bposd,38696a098656fb53ef44555aa0fdb3c05edcf903856e789c661cca91de1305c7,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.03,bposd,2df10244a9fbb639e7588f1026dfee78ce68e15fe5f4909ad887f544282ce087,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.93,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
        13,         0,         0,    4.49,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.36,bposd,49eced6383d46e1008e462af39eba2c96ef13e2c7eb51ac8494aebbd69d1d3e5,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    33.5,bposd,a6133eb9cb99357e461256a44c34e18b1b1a1011389eceb4e52c26bddbdc9135,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":5,""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over5"",""r"":12,""seq_gates"":""True""}",
         2,         0,         0,    15.6,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    34.9,bposd,4d57884531062b55c6c79786a320913d81a9ec75e9bb634139b963c27b62af75,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":1,""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over15"",""r"":12,""seq_gates"":""True""}",
         1,         0,         0,    7.17,bposd,6a433db5f0ab490cd44e2c505ad03973f0406fca36e2fc8d2d48eea1de66fe37,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.14,bposd,d5f6201107ffbf80331a99755cb710d2841182ca62fb08e9a7f7539b70d1c44c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.79,bposd,506e569f5cbb19f74b83ecdf8f89e3999377ee6de2ab8e0612b49da152294ced,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    9.57,bposd,c447c56cac486cbbbe83e8a78f61ae5960b06c4bb44ddebbda8f64ba05876a25,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.62,bposd,0996b106cd2bfbc84362739badbe2e67d509bf1134f4117b346e18530f9b44d2,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.59,bposd,38696a098656fb53ef44555aa0fdb3c05edcf903856e789c661cca91de1305c7,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    37.7,bposd,d8225cfa776106d58994013c937f638ed24b9f0292f7dea25631ab7e85ccad24,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":5,""b"":""X"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over15"",""r"":12,""seq_gates"":""True""}",
         1,         0,         0,    6.63,bposd,2df10244a9fbb639e7588f1026dfee78ce68e15fe5f4909ad887f544282ce087,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    38.0,bposd,ea203d3ff43d71e14893ffca6dd43e6aabd069633d89963bf20b7a8aa218f557,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over5"",""r"":12,""seq_gates"":""True""}",
         1,         1,         0,    6.16,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    11.3,bposd,1aa1815731c3906189127efa1ca0ac40aa0d794f69f159f72bfbd862f5e02712,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.70,bposd,49eced6383d46e1008e462af39eba2c96ef13e2c7eb51ac8494aebbd69d1d3e5,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.12,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    40.7,bposd,ca4b953d0399c9017e312e705be3d1b90065f466af37c9b9b4cf100ca88c311b,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":1,""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.006,""pause"":""T2over5"",""r"":12,""seq_gates"":""True""}",
         1,         0,         0,    41.4,bposd,e285451f4a515994321f774f31c7f8041c9263b4530c7cf32ae2e58763ad58c8,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":5,""b"":""X"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over10"",""r"":12,""seq_gates"":""True""}",
         1,         0,         0,   0.579,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         5,         0,         0,    9.19,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.00,bposd,d5f6201107ffbf80331a99755cb710d2841182ca62fb08e9a7f7539b70d1c44c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.69,bposd,506e569f5cbb19f74b83ecdf8f89e3999377ee6de2ab8e0612b49da152294ced,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    5.97,bposd,38696a098656fb53ef44555aa0fdb3c05edcf903856e789c661cca91de1305c7,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.29,bposd,6a433db5f0ab490cd44e2c505ad03973f0406fca36e2fc8d2d48eea1de66fe37,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    5.76,bposd,2df10244a9fbb639e7588f1026dfee78ce68e15fe5f4909ad887f544282ce087,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.37,bposd,0996b106cd2bfbc84362739badbe2e67d509bf1134f4117b346e18530f9b44d2,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    44.2,bposd,3d8a7a6a9f28fa580d9b384380134c1f274394aba9d94bebfe36545af0fe03bf,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":1,""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over10"",""r"":12,""seq_gates"":""True""}",
         1,         1,         0,    6.14,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    9.14,bposd,c447c56cac486cbbbe83e8a78f61ae5960b06c4bb44ddebbda8f64ba05876a25,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    21.4,bposd,5e9d7ea71111e3953fde8beccf1652dd5bdddcccb87e0074ca1b798224393849,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":1,""b"":""X"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":12,""seq_gates"":""True""}",
         1,         0,         0,    6.21,bposd,49eced6383d46e1008e462af39eba2c96ef13e2c7eb51ac8494aebbd69d1d3e5,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    47.2,bposd,f4f40e1021eb653e8a6b800b50157d2bca584bfd8f1a16cd9d49be13ecc9787d,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":1,""b"":""X"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over15"",""r"":12,""seq_gates"":""True""}",
         1,         1,         0,    6.08,bposd,d5f6201107ffbf80331a99755cb710d2841182ca62fb08e9a7f7539b70d1c44c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.18,bposd,38696a098656fb53ef44555aa0fdb3c05edcf903856e789c661cca91de1305c7,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.46,bposd,506e569f5cbb19f74b83ecdf8f89e3999377ee6de2ab8e0612b49da152294ced,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.16,bposd,2df10244a9fbb639e7588f1026dfee78ce68e15fe5f4909ad887f544282ce087,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
        11,         0,         0,    8.64,bposd,e9169ff41eea67d183fe2aa10b1355909c9361ce9e237b5f08d8d1421327483a,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.0005,""pause"":0,""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.45,bposd,6a433db5f0ab490cd44e2c505ad03973f0406fca36e2fc8d2d48eea1de66fe37,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    10.4,bposd,1aa1815731c3906189127efa1ca0ac40aa0d794f69f159f72bfbd862f5e02712,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.00,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    25.2,bposd,c2627e004a873c2a2b96f8305e9ecda6fd1af913be7ad1a5d603b1c2ebce4142,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":12,""seq_gates"":""True""}",
         1,         0,         0,    9.37,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    8.16,bposd,0996b106cd2bfbc84362739badbe2e67d509bf1134f4117b346e18530f9b44d2,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    5.69,bposd,49eced6383d46e1008e462af39eba2c96ef13e2c7eb51ac8494aebbd69d1d3e5,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.24,bposd,d5f6201107ffbf80331a99755cb710d2841182ca62fb08e9a7f7539b70d1c44c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    8.72,bposd,c447c56cac486cbbbe83e8a78f61ae5960b06c4bb44ddebbda8f64ba05876a25,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":10,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over5"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    5.96,bposd,38696a098656fb53ef44555aa0fdb3c05edcf903856e789c661cca91de1305c7,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.003,""pause"":""T2over1"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    5.98,bposd,2df10244a9fbb639e7588f1026dfee78ce68e15fe5f4909ad887f544282ce087,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":5,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over10"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    25.4,bposd,1b2bdf759710075db8b01f6c0ddad4aa5a4b694af36c15099f86147e50ff2976,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.006,""pause"":""T2over15"",""r"":12,""seq_gates"":""True""}",
         1,         1,         0,    6.49,bposd,506e569f5cbb19f74b83ecdf8f89e3999377ee6de2ab8e0612b49da152294ced,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    6.45,bposd,56d5239eaacd2888ae3239a9025d2f492a651d8b9a7f7cce6702ca6a4962c88c,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":1,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.005,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         1,         0,    7.57,bposd,6a433db5f0ab490cd44e2c505ad03973f0406fca36e2fc8d2d48eea1de66fe37,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.001,""pause"":""T2over2"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.38,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    6.59,bposd,49eced6383d46e1008e462af39eba2c96ef13e2c7eb51ac8494aebbd69d1d3e5,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""X"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    29.1,bposd,894cdfe58278f9fb12cb33b66476cdb2a39a1a00153335261b4467cb6d75b59b,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":5,""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.004,""pause"":0,""r"":12,""seq_gates"":""True""}",
         1,         0,         0,   0.857,bposd,042692cb85ed7ced9448daf310e8744825634ff1b4471a418677d370ffdecc54,"{""A"":""'300102'"",""B"":""'031020'"",""T2"":50,""b"":""X"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over20"",""r"":10,""seq_gates"":""True""}",
         1,         0,         0,    7.03,bposd,0996b106cd2bfbc84362739badbe2e67d509bf1134f4117b346e18530f9b44d2,"{""A"":""'900102'"",""B"":""'002070'"",""T2"":10,""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""uniform_plus_shift_and_shuttle_w_dephasing_idling"",""p"":0.002,""pause"":""T2over15"",""r"":10,""seq_gates"":""True""}",
