     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         8,         1,         0,   0.525,bposd,681406fe9b5cad25b47dee5f06eb6ad773fb74cc84761d2c16bc917e98d22ab9,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":10}",
         8,         0,         0,   0.437,bposd,1def768c3e088eb9d0770f5643cbb4be36706e6b640160101c8b0a62ef8dab73,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":10}",
        16,         0,         0,   0.553,bposd,293a33004cc45694ab2e555bdccf7e671f8ca53f18c4c74922745015a7172c49,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":12}",
       128,         0,         0,   0.687,bposd,421fd92b77f69f1fee5c009b10fc578d082129e1b566222e397526b4a39b2892,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.0005,""r"":10}",
         8,         0,         0,   0.622,bposd,8720a7fca6a6f1b48e0ff60d42f3029633eb6fa59762c2db7061df2e652eafc4,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":12}",
        32,         0,         0,   0.733,bposd,b77f46b8162e1454430f2f02c5096908db05cd8aeb5a09d9c0424a9ba9bd09ad,"{""A"":""'0001'"",""B"":""'002044'"",""b"":""Z"",""l"":6,""m"":10,""nkd"":""[[120_8_8]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":8}",
        16,         0,         0,   0.519,bposd,cff1afba9ab6798eb14ea6bf641f48a7dc578f4c99c20e07b6decd3390faf50d,"{""A"":""'0001'"",""B"":""'002044'"",""b"":""Z"",""l"":6,""m"":10,""nkd"":""[[120_8_8]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":8}",
         8,         1,         0,   0.708,bposd,6b5b8441da4dd0a7af8f112ad01a947d83c3534bc6315c2c54920f86608bcc43,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.006,""r"":10}",
        64,         0,         0,   0.670,bposd,2396c1581e7d9dc688016fc92a558acfb18087f9979b7e0d4974a2896c7c6bcf,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.0005,""r"":12}",
         8,         0,         0,   0.389,bposd,d2c5702e94cfcf5ea9d4c526cebcb60c056c7fd39ba8e955832327b26f9fa5d5,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":10}",
        64,         0,         0,   0.639,bposd,869ab403c94ada9f5458ea4798b5f3d0cbdf52849a3926cafc074670dd49ad4f,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":10}",
         8,         0,         0,   0.554,bposd,2aace31d350b462d76cc1e56c16bbf7aaf63c5c7318f38d20a23b16468871372,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.003,""r"":12}",
        64,         0,         0,   0.429,bposd,e685e53a45dd8b0a82b318f6aaa4499c638becdb87005440c5ace1662c1a033a,"{""A"":""'0001'"",""B"":""'002044'"",""b"":""Z"",""l"":6,""m"":10,""nkd"":""[[120_8_8]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":8}",
        16,         0,         0,   0.636,bposd,938f1feef36c9c85b752a9207835a116c0ddf6d0826483a5dae09bf53e3b7bac,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":10}",
        16,         0,         0,   0.356,bposd,293a33004cc45694ab2e555bdccf7e671f8ca53f18c4c74922745015a7172c49,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":12}",
        32,         0,         0,   0.495,bposd,fa216e379a33495b0476ef475770477ce84c1cb2c68a565fd0e5aeb90805205d,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":10}",
         8,         1,         0,   0.464,bposd,1def768c3e088eb9d0770f5643cbb4be36706e6b640160101c8b0a62ef8dab73,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":10}",
        64,         0,         0,   0.608,bposd,8759045849d322593817f31b11255b7b21a1e2b6647902bec69252d04a0ae0dd,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.001,""r"":10}",
        16,         1,         0,   0.469,bposd,cff1afba9ab6798eb14ea6bf641f48a7dc578f4c99c20e07b6decd3390faf50d,"{""A"":""'0001'"",""B"":""'002044'"",""b"":""Z"",""l"":6,""m"":10,""nkd"":""[[120_8_8]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":8}",
         8,         0,         0,   0.391,bposd,d2c5702e94cfcf5ea9d4c526cebcb60c056c7fd39ba8e955832327b26f9fa5d5,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":10}",
         8,         0,         0,   0.680,bposd,681406fe9b5cad25b47dee5f06eb6ad773fb74cc84761d2c16bc917e98d22ab9,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":10}",
         8,         0,         0,   0.597,bposd,8720a7fca6a6f1b48e0ff60d42f3029633eb6fa59762c2db7061df2e652eafc4,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":12}",
       128,         0,         0,   0.634,bposd,421fd92b77f69f1fee5c009b10fc578d082129e1b566222e397526b4a39b2892,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.0005,""r"":10}",
         8,         0,         0,   0.560,bposd,6b5b8441da4dd0a7af8f112ad01a947d83c3534bc6315c2c54920f86608bcc43,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.006,""r"":10}",
        64,         0,         0,   0.416,bposd,e685e53a45dd8b0a82b318f6aaa4499c638becdb87005440c5ace1662c1a033a,"{""A"":""'0001'"",""B"":""'002044'"",""b"":""Z"",""l"":6,""m"":10,""nkd"":""[[120_8_8]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":8}",
        32,         0,         0,   0.722,bposd,b77f46b8162e1454430f2f02c5096908db05cd8aeb5a09d9c0424a9ba9bd09ad,"{""A"":""'0001'"",""B"":""'002044'"",""b"":""Z"",""l"":6,""m"":10,""nkd"":""[[120_8_8]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":8}",
        16,         0,         0,   0.475,bposd,293a33004cc45694ab2e555bdccf7e671f8ca53f18c4c74922745015a7172c49,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":12}",
         8,         0,         0,   0.421,bposd,1def768c3e088eb9d0770f5643cbb4be36706e6b640160101c8b0a62ef8dab73,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":10}",
        64,         0,         0,   0.702,bposd,2396c1581e7d9dc688016fc92a558acfb18087f9979b7e0d4974a2896c7c6bcf,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.0005,""r"":12}",
        16,         0,         0,   0.571,bposd,938f1feef36c9c85b752a9207835a116c0ddf6d0826483a5dae09bf53e3b7bac,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":10}",
         8,         0,         0,   0.317,bposd,d2c5702e94cfcf5ea9d4c526cebcb60c056c7fd39ba8e955832327b26f9fa5d5,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":10}",
        64,         0,         0,   0.393,bposd,8759045849d322593817f31b11255b7b21a1e2b6647902bec69252d04a0ae0dd,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.001,""r"":10}",
        32,         0,         0,   0.569,bposd,fa216e379a33495b0476ef475770477ce84c1cb2c68a565fd0e5aeb90805205d,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":10}",
         8,         0,         0,   0.343,bposd,681406fe9b5cad25b47dee5f06eb6ad773fb74cc84761d2c16bc917e98d22ab9,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":10}",
        64,         0,         0,   0.850,bposd,869ab403c94ada9f5458ea4798b5f3d0cbdf52849a3926cafc074670dd49ad4f,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules_zero_idling"",""p"":0.002,""r"":10}",
        16,         0,         0,   0.563,bposd,cff1afba9ab6798eb14ea6bf641f48a7dc578f4c99c20e07b6decd3390faf50d,"{""A"":""'0001'"",""B"":""'002044'"",""b"":""Z"",""l"":6,""m"":10,""nkd"":""[[120_8_8]]"",""noise"":""tham_modules_zero_idling"",""p"":0.005,""r"":8}",
         8,         0,         0,   0.600,bposd,8720a7fca6a6f1b48e0ff60d42f3029633eb6fa59762c2db7061df2e652eafc4,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":12,""m"":6,""nkd"":""[[144_12_12]]"",""noise"":""tham_modules_zero_idling"",""p"":0.004,""r"":12}",
