     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.016,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.018,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.018,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.019,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.017,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.016,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.017,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.019,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.019,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.018,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.016,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.017,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.016,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.017,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.017,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.017,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.018,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.016,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.019,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.053,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.062,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.056,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.068,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.018,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.053,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.074,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.018,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.058,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.060,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.055,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.062,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.056,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.055,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.055,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.063,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.057,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
        16,         0,         0,   0.082,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
         1,         0,         0,   0.018,bposd,1d42788997c955656e1579c9a1cc0f31acae501b320f438e36e23d7b8de7dc11,"{""A"":""x3y0+x0y1+x0y2"",""B"":""x0y3+x1y0+x2y0"",""b"":""X"",""d"":12,""excl_opp_detectors"":""True"",""k"":12,""l"":12,""leak_heralds"":""False"",""leak_repump"":""False"",""leakage"":""False"",""loss"":""False"",""m"":6,""n"":144,""p"":0.001,""prllel_1q"":Infinity,""prllel_2q"":6,""r"":20,""repump_cycles"":3,""seq_meas"":""False"",""seq_ops"":""True"",""swapLRC"":""False""}",
